source,target,importance
A2M,A2M,0.9999999999999429
A4GALT,A4GALT,0.9999999999998335
A4GNT,A4GNT,0.9999999999998761
AAK1,AAK1,1.0
AARD,AARD,1.0
AASS,AASS,1.0
AATK,AATK,1.0
ABAT,ABAT,0.9999999999995641
ABCA1,ABCA1,0.99999999999973
ABCA10,ABCA10,1.0
ABCA12,ABCA12,0.9999999999997603
ABCA3,ABCA3,0.9999999999997543
ABCA4,ABCA4,0.9999999999997546
ABCA5,ABCA5,1.0
ABCA6,ABCA6,0.9999999999999291
ABCA7,ABCA7,0.9999999999997249
ABCA9,ABCA9,1.0
ABCB4,ABCB4,0.9999999999999063
ABCB6,ABCB6,1.0
ABCB7,ABCB7,1.0
ABCB8,ABCB8,1.0
ABCB9,ABCB9,0.9999999999998531
NEAT1,ABCC1,0.4127207537121308
ISG15,ABCC1,0.4241678801035292
ABCC1,ABCC1,0.9999999999995685
ABCC10,ABCC10,1.0
HIPK2,ABCC3,0.5036008926431235
RBP1,ABCC3,0.5062440348995296
HIP1,ABCC3,0.5077242574031603
NEBL,ABCC3,0.5137329373489726
MIAT,ABCC3,0.5145240596236164
IFI16,ABCC3,0.5197362764777198
CENPT,ABCC3,0.5199551651380434
LINC00842,ABCC3,0.5204390329732537
CLU,ABCC3,0.5255657226270432
MORC3,ABCC3,0.5259730629318818
ISG15,ABCC3,0.5334607279600503
NEAT1,ABCC3,0.5335368797640516
SLC44A1,ABCC3,0.5384964323887843
ABTB2,ABCC3,0.5422204837243575
KRT18,ABCC3,0.5431258411978641
IFI6,ABCC3,0.54959632546939
FLNB,ABCC3,0.5541911622901393
MGP,ABCC3,0.5554249247624045
TPST2,ABCC3,0.5639536669733162
SLC12A8,ABCC3,0.5860816268279081
ABCC3,ABCC3,1.0
ISG15,ABCC4,0.4012985186356909
TPST2,ABCC4,0.40612593096338273
SLC12A8,ABCC4,0.4256178706314699
ABCC4,ABCC4,0.9999999999998219
ABCC5,ABCC5,0.9999999999998809
ABCC6,ABCC6,1.0
ABCC9,ABCC9,1.0
ABCD4,ABCD4,0.9999999999996491
ABCG8,ABCG8,0.9999999999994722
ABHD12B,ABHD12B,1.0
ABHD13,ABHD13,1.0
ABHD15-AS1,ABHD15-AS1,0.999999999999965
ABHD17B,ABHD17B,1.0
ABHD17C,ABHD17C,1.0
ABHD18,ABHD18,1.0
ABHD3,ABHD3,1.0
ABHD4,ABHD4,1.0
ABI2,ABI2,0.9999999999998268
ABI3BP,ABI3BP,1.0
ABITRAM,ABITRAM,1.0
NEAT1,ABL1,0.40330747936909056
ISG15,ABL1,0.41970086241746507
ABL1,ABL1,0.9999999999998402
ABL2,ABL2,1.0
FNIP1,ABLIM1,0.4428488204908355
TPST2,ABLIM1,0.44413746982413255
FLNB,ABLIM1,0.44637937664707417
SLC39A11,ABLIM1,0.4479283303097419
NEBL,ABLIM1,0.4484353340977618
PVT1,ABLIM1,0.4489929229590705
EPSTI1,ABLIM1,0.45343499756119177
IFITM3,ABLIM1,0.45457389161487183
IFI6,ABLIM1,0.4551741023542919
MRTFA,ABLIM1,0.4560929138285015
IFITM1,ABLIM1,0.45755750772326215
ABTB2,ABLIM1,0.4604229209409586
IFIT1,ABLIM1,0.46356445150099246
IFIT3,ABLIM1,0.4700803451122806
MX1,ABLIM1,0.472644679280968
IFI16,ABLIM1,0.48348771549756203
SLC12A8,ABLIM1,0.49076598504496216
